SubjID x02 x03 x04 x05 x06 x07 x08 x09 x10 x11 x12 x13 x14 x15 x16 x17 x01 Patterns FreqPatterns initial_gik1 initial_gik2 final_gik1 final_gik2
101110 2 1 2 1 1 3 2 1 2 2 2 1 1 1 2 1 1 21211321222111211 1 0.5 0.5 0.8171 0.1829
101111 2 3 1 4 3 4 4 1 1 2 2 2 1 2 2 1 1 23143441122212211 1 0.5 0.5 0.2512 0.7488
101112 2 3 2 1 1 3 2 1 2 2 1 1 1 2 2 2 1 23211321221112221 1 0.5 0.5 0.8586 0.1414
102001 3 1 1 1 1 4 2 1 1 2 1 1 2 2 1 1 2 31111421121122112 1 0.5 0.5 1 0
102002 3 3 2 1 1 1 2 1 1 2 1 1 2 2 1 2 2 33211121121122122 1 0.5 0.5 1 0
102003 3 1 1 1 1 4 3 1 1 1 2 1 1 1 2 1 2 31111431112111212 1 0.5 0.5 0.9208 0.0792
102004 3 1 1 3 3 2 2 1 1 2 1 1 1 1 2 2 2 31133221121111222 1 0.5 0.5 0.4502 0.5498
102005 2 1 2 2 2 3 3 1 1 1 2 1 1 1 2 1 2 21222331112111212 1 0.5 0.5 1 0
102006 2 1 2 1 1 2 1 1 1 2 2 1 1 1 2 2 2 21211211122111222 1 0.5 0.5 1 0
102007 2 1 2 1 1 3 2 1 1 1 2 1 1 1 2 1 2 21211321112111212 1 0.5 0.5 1 0
102008 2 1 2 1 1 1 1 1 1 2 2 1 1 1 2 1 2 21211111122111212 1 0.5 0.5 1 0
102009 2 1 2 1 1 2 2 1 2 2 2 2 1 1 2 1 2 21211221222211212 1 0.5 0.5 0.8221 0.1779
102010 1 1 2 1 1 1 1 1 1 2 2 1 1 1 2 1 2 11211111122111212 1 0.5 0.5 1 0
102011 3 1 1 1 1 3 2 1 1 2 2 1 1 1 2 2 2 31111321122111222 1 0.5 0.5 1 0
102012 3 1 1 2 2 1 3 1 2 1 2 1 1 1 2 1 2 31122131212111212 1 0.5 0.5 1 0
102013 1 1 1 1 1 1 2 1 1 1 2 1 1 1 2 2 2 11111121112111222 1 0.5 0.5 1 0
102014 3 1 1 3 3 2 3 1 1 1 1 2 1 1 2 1 2 31133231111211212 1 0.5 0.5 0 1
102015 3 1 1 2 2 3 3 1 1 2 3 1 1 1 2 1 2 31122331123111212 1 0.5 0.5 1 0
102016 3 1 1 1 1 2 2 1 2 1 3 1 1 1 2 2 2 31111221213111222 2 0.5 0.5 1 0
102017 2 1 1 1 1 1 2 1 1 1 2 1 1 1 2 2 2 21111121112111222 1 0.5 0.5 1 0
102018 1 1 1 2 2 1 2 1 1 1 1 1 1 3 2 1 2 11122121111113212 1 0.5 0.5 1 0
102019 1 1 2 1 1 2 2 1 1 2 1 1 1 1 2 1 2 11211221121111212 1 0.5 0.5 1 0
102020 3 1 1 1 1 2 3 1 1 1 3 1 1 1 2 1 2 31111231113111212 1 0.5 0.5 1 0
102021 1 1 1 1 1 2 2 1 1 1 3 1 1 1 2 2 2 11111221113111222 1 0.5 0.5 1 0
102022 3 1 2 3 3 4 2 1 1 1 1 1 1 1 2 1 2 31233421111111212 1 0.5 0.5 0.3805 0.6195
102023 2 1 1 1 1 3 3 1 1 2 2 1 1 1 2 2 2 21111331122111222 1 0.5 0.5 1 0
102024 2 1 1 1 1 4 2 1 1 2 2 1 1 2 2 2 2 21111421122112222 1 0.5 0.5 1 0
102025 2 1 1 1 1 1 2 1 1 1 2 2 1 2 2 1 2 21111121112212212 1 0.5 0.5 0.8089 0.1911
102026 3 1 2 1 1 4 3 1 1 1 1 1 1 1 2 1 2 31211431111111212 1 0.5 0.5 0.9144 0.0856
102027 2 1 2 1 1 2 2 1 1 1 1 1 1 1 2 1 2 21211221111111212 1 0.5 0.5 1 0
102028 1 1 1 1 1 3 2 1 1 1 3 1 1 1 2 2 2 11111321113111222 1 0.5 0.5 1 0
102029 2 3 2 1 1 1 1 1 1 1 1 1 2 2 1 2 2 23211111111122122 1 0.5 0.5 1 0
102030 1 3 2 1 1 2 2 1 1 1 1 1 2 2 1 2 2 13211221111122122 2 0.5 0.5 1 0
102031 3 3 2 1 1 3 2 1 1 1 1 1 2 2 1 1 2 33211321111122112 1 0.5 0.5 1 0
102032 2 3 2 1 1 3 2 1 1 1 1 1 2 2 1 2 2 23211321111122122 1 0.5 0.5 1 0
